,YYYY.MM.DD.DOY.,yield,irrigation_demand,county_name,crop,lat_lon
1,1980-08-27(240),15147.19043,421.828766,Okanogan,Corn_grain,48.15625N119.71875W
2,1981-08-21(233),15926.3877,427.074036,Okanogan,Corn_grain,48.15625N119.71875W
3,1982-08-16(228),13489.79102,363.383331,Okanogan,Corn_grain,48.15625N119.71875W
4,1983-08-19(231),15263.73731,382.292114,Okanogan,Corn_grain,48.15625N119.71875W
5,1984-08-22(235),13779.91113,391.802673,Okanogan,Corn_grain,48.15625N119.71875W
6,1985-08-04(216),13920.44824,445.965393,Okanogan,Corn_grain,48.15625N119.71875W
7,1986-08-10(222),13722.78613,405.909058,Okanogan,Corn_grain,48.15625N119.71875W
8,1987-08-13(225),14043.31934,393.008881,Okanogan,Corn_grain,48.15625N119.71875W
9,1988-08-16(229),14365.99219,424.182007,Okanogan,Corn_grain,48.15625N119.71875W
10,1989-08-18(230),13565.94434,405.157379,Okanogan,Corn_grain,48.15625N119.71875W
11,1990-08-14(226),12872.875,385.648712,Okanogan,Corn_grain,48.15625N119.71875W
12,1991-08-19(231),14308.9541,377.364471,Okanogan,Corn_grain,48.15625N119.71875W
13,1992-08-05(218),12878.33301,331.857208,Okanogan,Corn_grain,48.15625N119.71875W
14,1993-08-17(229),16326.79199,350.894928,Okanogan,Corn_grain,48.15625N119.71875W
15,1994-08-09(221),13942.84961,412.341064,Okanogan,Corn_grain,48.15625N119.71875W
16,1995-08-15(227),14279.04102,389.375732,Okanogan,Corn_grain,48.15625N119.71875W
17,1996-08-18(231),14089.01367,411.801422,Okanogan,Corn_grain,48.15625N119.71875W
18,1997-08-18(230),15432.03906,376.910767,Okanogan,Corn_grain,48.15625N119.71875W
19,1998-08-08(220),12743.04785,331.235016,Okanogan,Corn_grain,48.15625N119.71875W
20,1999-08-24(236),14235.02832,409.907684,Okanogan,Corn_grain,48.15625N119.71875W
21,2000-08-17(230),14763.81445,416.722443,Okanogan,Corn_grain,48.15625N119.71875W
22,2001-08-15(227),15291.72656,423.438477,Okanogan,Corn_grain,48.15625N119.71875W
23,2002-08-14(226),13515.97461,418.662079,Okanogan,Corn_grain,48.15625N119.71875W
24,2003-08-06(218),13478.25488,422.993256,Okanogan,Corn_grain,48.15625N119.71875W
25,2004-08-09(222),13306.15234,389.310425,Okanogan,Corn_grain,48.15625N119.71875W
26,2005-08-13(225),14699.75195,401.772583,Okanogan,Corn_grain,48.15625N119.71875W
27,2006-08-07(219),13865.88574,387.842468,Okanogan,Corn_grain,48.15625N119.71875W
28,2007-08-08(220),13454.44043,393.656311,Okanogan,Corn_grain,48.15625N119.71875W
29,2008-08-12(225),15096.0625,434.888031,Okanogan,Corn_grain,48.15625N119.71875W
30,2009-08-04(216),14124.79981,414.530609,Okanogan,Corn_grain,48.15625N119.71875W
31,2010-08-18(230),14373.91406,403.557495,Okanogan,Corn_grain,48.15625N119.71875W
32,2011-08-26(238),15418.65234,426.787994,Okanogan,Corn_grain,48.15625N119.71875W
